dhsl	dt	Mode	pCa
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
0.466666666666667	0.001	-1	6.4
